timestamp,ip,score,decision,rule_id
2025-09-14T05:55:40.197630,88.208.5.211,0.0,NORMAL,
2025-09-14T05:55:40.220938,142.251.220.8,0.0,NORMAL,
2025-09-14T05:55:40.243594,192.168.0.1,0.0,NORMAL,
2025-09-14T05:55:40.266143,79.127.216.228,0.0,NORMAL,
2025-09-14T05:55:40.288588,192.168.0.107,0.0,NORMAL,
2025-09-14T05:55:40.311027,104.17.222.114,0.0,NORMAL,
2025-09-14T05:55:41.558845,192.168.0.22,0.57,SUSPICIOUS,heuristic
2025-09-14T05:55:42.363681,79.127.216.228,0.0,NORMAL,
2025-09-14T05:55:42.388571,192.168.0.107,0.0,NORMAL,
2025-09-14T05:55:42.411867,88.208.5.211,0.0,NORMAL,
2025-09-14T05:55:42.435938,192.168.0.101,0.0,NORMAL,
2025-09-14T05:55:42.460364,79.127.216.223,0.0,NORMAL,
2025-09-14T05:55:42.485142,192.168.0.107,0.0,NORMAL,
2025-09-14T05:55:42.509765,192.168.0.1,0.0,NORMAL,
2025-09-14T05:55:42.534079,88.208.5.211,0.0,NORMAL,
2025-09-14T05:55:44.618148,192.168.0.107,0.0,NORMAL,
2025-09-14T05:55:44.641805,45.133.44.18,0.0,NORMAL,
2025-09-14T05:55:44.664963,192.168.0.1,0.0,NORMAL,
2025-09-14T05:55:44.687794,45.133.44.22,0.0,NORMAL,
2025-09-14T05:55:44.710463,79.127.216.229,0.0,NORMAL,
2025-09-14T05:55:44.732896,79.127.211.83,0.0,NORMAL,
2025-09-14T05:55:44.755401,88.208.13.67,0.0,NORMAL,
2025-09-14T05:55:44.777891,79.127.216.226,0.0,NORMAL,
2025-09-14T05:55:44.800407,79.127.216.223,0.0,NORMAL,
2025-09-14T05:55:44.822991,192.168.0.1,0.0,NORMAL,
2025-09-14T05:55:44.845519,192.168.0.107,0.0,NORMAL,
2025-09-14T05:55:44.868045,45.133.44.13,0.0,NORMAL,
2025-09-14T05:55:44.890972,79.127.216.226,0.0,NORMAL,
2025-09-14T05:55:44.913538,79.127.211.83,0.0,NORMAL,
2025-09-14T05:55:44.936287,156.146.33.151,0.0,NORMAL,
2025-09-14T05:55:45.559546,8.8.8.8,0.48,NORMAL,
2025-09-14T05:55:47.038445,156.146.33.151,0.0,NORMAL,
2025-09-14T05:55:47.062001,192.168.0.107,0.0,NORMAL,
2025-09-14T05:55:47.086930,172.64.148.235,0.0,NORMAL,
2025-09-14T05:55:47.114009,192.168.0.1,0.0,NORMAL,
2025-09-14T05:55:47.139794,45.133.44.19,0.0,NORMAL,
2025-09-14T05:55:47.164937,79.127.216.229,0.0,NORMAL,
2025-09-14T05:55:47.195069,45.133.44.19,0.0,NORMAL,
2025-09-14T05:55:47.221565,192.168.0.107,0.0,NORMAL,
2025-09-14T05:55:47.249716,79.127.216.223,0.0,NORMAL,
2025-09-14T05:55:47.275924,89.222.125.204,0.0,NORMAL,
2025-09-14T05:55:47.299685,79.127.216.229,0.0,NORMAL,
2025-09-14T05:55:47.323253,156.146.33.151,0.0,NORMAL,
2025-09-14T05:55:47.347527,88.208.5.211,0.0,NORMAL,
2025-09-14T05:55:47.371962,79.127.216.225,0.0,NORMAL,
2025-09-14T05:55:47.395902,192.168.0.1,0.0,NORMAL,
2025-09-14T05:55:47.420294,45.133.44.13,0.0,NORMAL,
2025-09-14T05:55:49.482566,79.127.216.222,0.0,NORMAL,
2025-09-14T05:55:49.506240,192.168.0.107,0.0,NORMAL,
2025-09-14T05:55:49.529638,88.208.5.211,0.0,NORMAL,
2025-09-14T05:55:49.552809,192.168.0.107,0.0,NORMAL,
2025-09-14T05:55:49.560107,192.168.0.22,0.39,NORMAL,
2025-09-14T05:55:49.575904,45.133.44.19,0.0,NORMAL,
2025-09-14T05:55:49.598472,192.168.0.1,0.0,NORMAL,
2025-09-14T05:55:49.621487,88.208.13.67,0.0,NORMAL,
2025-09-14T05:55:49.644505,156.146.33.151,0.0,NORMAL,
2025-09-14T05:55:51.693606,192.168.0.107,0.0,NORMAL,
2025-09-14T05:55:51.718089,104.18.146.40,0.0,NORMAL,
2025-09-14T05:55:51.742007,104.18.146.40,0.0,NORMAL,
2025-09-14T05:55:51.766501,192.168.0.107,0.0,NORMAL,
2025-09-14T05:55:51.790181,79.127.216.229,0.0,NORMAL,
2025-09-14T05:55:51.814096,185.207.236.139,0.0,NORMAL,
2025-09-14T05:55:51.838875,88.208.13.67,0.0,NORMAL,
2025-09-14T05:55:53.560633,192.168.0.10,0.7,SUSPICIOUS,heuristic
2025-09-14T05:55:53.897958,192.168.0.107,0.0,NORMAL,
2025-09-14T05:55:53.920455,88.208.13.67,0.0,NORMAL,
2025-09-14T05:55:53.942910,104.17.222.114,0.0,NORMAL,
2025-09-14T05:55:53.965478,192.168.0.107,0.0,NORMAL,
2025-09-14T05:55:53.988039,79.127.216.228,0.0,NORMAL,
2025-09-14T05:55:54.010715,79.127.211.83,0.0,NORMAL,
2025-09-14T05:55:54.033258,156.146.33.151,0.0,NORMAL,
2025-09-14T05:55:54.055871,88.208.5.211,0.0,NORMAL,
2025-09-14T05:55:56.124404,192.168.0.107,0.0,NORMAL,
2025-09-14T05:55:56.148524,192.168.0.1,0.0,NORMAL,
2025-09-14T05:55:56.172414,104.18.146.40,0.0,NORMAL,
2025-09-14T05:55:56.195487,104.21.57.190,0.0,NORMAL,
2025-09-14T05:55:56.218716,142.250.183.99,0.0,NORMAL,
2025-09-14T05:55:56.242070,142.251.220.8,0.0,NORMAL,
2025-09-14T05:55:56.266332,142.250.207.170,0.0,NORMAL,
2025-09-14T05:55:57.561207,172.16.0.8,0.57,SUSPICIOUS,heuristic
2025-09-14T05:55:58.330455,192.168.0.107,0.0,NORMAL,
2025-09-14T05:55:58.353395,104.21.57.190,0.0,NORMAL,
2025-09-14T05:55:58.376859,142.251.220.8,0.0,NORMAL,
2025-09-14T05:55:58.399825,142.250.207.170,0.0,NORMAL,
2025-09-14T05:55:58.424019,142.250.183.99,0.0,NORMAL,
